EmployeeID,Role Name,Role Description,Theme,Products Experience,Core Competencies,External/Internal Certifications,Expertise Areas,Industry Experience,Work Location,Work Flexibility,Languages Known,Available From,Weekly Availability in Hours,Cultural Awareness,Problem Solving,Leadership
E001,Senior HR Manager,"I am a highly skilled HR professional with extensive experience in manufacturing, specializing in HRIS Plus and Employee Experience Platforms.  My core strengths lie in digital HR and talent management, enabling me to streamline HR processes and drive positive employee experiences. I'm proficient in organizational development and communication, and eager to contribute to projects improving employee engagement and optimizing HR operations.  I'm ready to leverage my expertise to enhance our company's HR strategies.",HR,"['HRIS Plus', 'Employee Experience Platform']","{'Digital HR': 9, 'Organizational Development': 5, 'Communication Skills': 4, 'Talent Management': 9}",['SHRM-CP'],"['Organizational Development Systems', 'HRIS Systems']",['Manufacturing'],Vienna,remote,"{'French': 'B1', 'German': 'B2', 'English': 'A1'}",2025-06-14,30,1,6,1
E002,Content Creator,"I am a marketing professional with extensive experience developing and executing successful digital campaigns, leveraging my expertise in SEO optimization and content strategy across diverse industries like education and manufacturing.  My skills in campaign management are exceptional, allowing me to drive impactful results using various content formats (written, video, visual) within platforms like Content CMS and Digital Campaign Manager. I'm eager to contribute to projects requiring strong content creation and strategic marketing execution, helping the team achieve its goals.",Marketing,"['Content CMS', 'Digital Campaign Manager']","{'SEO Optimization': 8, 'Content Strategy': 8, 'Branding': 6, 'Campaign Management': 10, 'Copywriting': 6}",['Google Ads Certification'],['SEO Optimization'],"['Education', 'Manufacturing']",Berlin,onsite,"{'German': 'C2', 'English': 'A2', 'French': 'C2'}",2025-05-23,10,4,6,7
E003,Solution Architect,"I am a highly proficient technical specialist with extensive experience designing and implementing robust, scalable solutions across diverse industries like Retail, Education, and Manufacturing.  My expertise in API Development, Workflow Automation, and IT Infrastructure, particularly with IntegrationHub, allows me to seamlessly integrate complex systems and streamline processes. I'm confident in my ability to contribute significantly to projects requiring high-level technical solutions and impactful system improvements.  My deep understanding of cloud services further enhances my capacity to deliver innovative and reliable solutions.",Technical,['IntegrationHub'],"{'API Development': 6, 'Cloud Services': 4, 'Workflow Automation': 6, 'IT Infrastructure': 10}",['ITIL'],['Networking'],"['Retail', 'Education', 'Manufacturing']",Vienna,hybrid,"{'French': 'A2', 'Italian': 'B2'}",2025-06-06,20,7,7,10
E004,Digital Marketing Specialist,"I am a marketing professional with a proven track record in driving online growth across diverse industries, including manufacturing, retail, and healthcare.  My expertise lies in SEO optimization (expert level), leveraging SEO toolkits to boost organic reach and implementing impactful branding strategies (proficient). I'm confident in contributing to projects requiring strong digital marketing execution, from social media management to developing compelling copy and optimizing content for search engines.",Marketing,"['Social Media Manager', 'SEO Toolkit']","{'Branding': 6, 'SEO Optimization': 9, 'Copywriting': 4}",['HubSpot Marketing Certification'],"['Social Media Integration', 'Content Management Systems']","['Manufacturing', 'Retail', 'Healthcare']",Berlin,remote,"{'English': 'C1', 'Italian': 'C2', 'German': 'B1'}",2025-05-27,40,3,1,2
E005,Compliance Manager,"I am a legal professional with extensive experience ensuring regulatory compliance across diverse industries like manufacturing, finance, and healthcare.  My expertise in regulatory knowledge and document review, honed through my work with regulatory trackers, allows me to efficiently identify and mitigate potential risks. I'm confident in my ability to contribute to projects requiring thorough legal analysis and ensure adherence to all relevant standards and regulations.",Legal,['Regulatory Tracker'],"{'Regulatory Knowledge': 5, 'Document Review': 4}","['Certified Compliance Officer', 'GDPR Certification']","['Contract Management Systems', 'Regulatory Compliance Tools']","['Manufacturing', 'Finance', 'Healthcare']",Berlin,remote,{'German': 'B1'},2025-05-29,20,8,7,2
E006,Solution Architect,"I am a highly proficient technical specialist with extensive experience in Workflow2000 and a strong background in IT infrastructure and workflow automation.  My expertise in data analysis and API development allows me to design and implement robust, scalable solutions for our clients in both the education and finance sectors. I'm confident in my ability to contribute significantly to projects requiring advanced technical skills and a deep understanding of cloud services.",Technical,['Workflow2000'],"{'Data Analysis': 6, 'Workflow Automation': 7, 'Cloud Services': 5, 'IT Infrastructure': 9, 'API Development': 6}","['Microsoft Azure Certification', 'ITIL']",['Cybersecurity'],"['Education', 'Finance']",Berlin,remote,{'German': 'C1'},2025-06-03,40,6,7,2
E007,Field Support Engineer,"I am a highly proficient technical specialist with extensive experience in workflow automation and data analysis, leveraging my skills in API development and cloud services (CloudSuite, IntegrationHub, AIScan) to streamline complex processes. My expertise in IT infrastructure ensures seamless integration and support across diverse environments, having worked across the Finance, Education, and Healthcare sectors. I'm confident in contributing to projects requiring robust technical solutions and efficient data management, and eager to apply my skills to new challenges.",Technical,"['CloudSuite', 'IntegrationHub', 'AIScan']","{'API Development': 6, 'IT Infrastructure': 8, 'Workflow Automation': 10, 'Cloud Services': 7, 'Data Analysis': 10}","['ITIL', 'ISO 27001']","['Cybersecurity', 'Cloud Infrastructure']","['Finance', 'Education', 'Healthcare']",Berlin,remote,{'English': 'A1'},2025-06-04,40,3,6,5
E008,Content Creator,"I am a marketing professional with extensive experience crafting compelling content across various mediums, including written, video, and visual formats. My expertise in SEO optimization and content strategy, coupled with a strong understanding of branding (particularly within the healthcare and finance sectors), allows me to develop and execute high-impact marketing campaigns. I'm proficient in utilizing SEO toolkits and content management systems to maximize reach and engagement, and I'm eager to contribute my skills to projects requiring a strategic and creative approach.",Marketing,"['SEO Toolkit', 'Content CMS']","{'Campaign Management': 6, 'SEO Optimization': 6, 'Branding': 9, 'Content Strategy': 7}",['HubSpot Marketing Certification'],"['SEO Optimization', 'Content Management Systems']","['Healthcare', 'Finance']",Vienna,hybrid,"{'German': 'B1', 'Italian': 'B2', 'French': 'A1'}",2025-06-09,40,7,6,2
E009,Strategy Consultant,"I am a seasoned consultant specializing in retail business optimization, leveraging my expertise in strategic planning and project management to drive impactful change.  My experience with ERP migrations and business analysis frameworks allows me to efficiently identify and implement workflow improvements, leading to substantial growth. I excel at advising leadership on strategic initiatives, ensuring successful project delivery and fostering a positive change management process.  I'm confident in contributing significantly to projects requiring strong analytical skills and a strategic vision.",Consulting,"['Business Analysis Framework', 'ERP Migration Tool']","{'Change Management': 4, 'Project Management': 8, 'Strategic Planning': 10, 'Workflow Optimization': 6, 'Business Analysis': 7}","['Agile Practitioner', 'Six Sigma']","['Strategic Planning', 'Business Workflow Optimization']",['Retail'],Vienna,hybrid,"{'French': 'B2', 'Italian': 'B1'}",2025-06-15,20,10,1,10
E010,Workflow Consultant,"I am a consultant specializing in streamlining business operations within the manufacturing and finance sectors, leveraging my expertise in workflow optimization and change management to deliver tangible results.  My experience with ERP migration tools and business analysis frameworks allows me to effectively assess current processes and recommend strategic improvements, driving efficiency and profitability. I excel at developing and executing strategic plans, ensuring successful transitions and lasting positive impact on projects.  I'm eager to contribute my skills to initiatives requiring robust process improvement and strategic guidance.",Consulting,"['ERP Migration Tool', 'Strategy Kit', 'Business Analysis Framework']","{'Workflow Optimization': 4, 'Change Management': 4, 'Strategic Planning': 8}",['Business Analysis Certification'],"['Strategic Planning', 'Business Workflow Optimization']","['Manufacturing', 'Finance']",Berlin,hybrid,{'English': 'A2'},2025-06-11,40,3,8,10
E011,Pre-Sales Engineer,"I am a sales professional with proven success in the Education and Healthcare sectors, specializing in Loyalty CRM and Sales Enablement Suite solutions.  My strengths lie in seamlessly integrating CRM systems and negotiating compelling deals, allowing me to effectively prepare and deliver technical demos and proposals that resonate with prospects. I'm confident in my ability to contribute significantly to projects requiring strong sales acumen and technical proficiency.",Sales,"['Loyalty CRM', 'Sales Enablement Suite']","{'CRM Integration': 8, 'Negotiation': 8}","['Certified Sales Professional (CSP)', 'CRM Specialist Certification']",['Client Relationship Systems'],"['Education', 'Healthcare']",London,hybrid,"{'German': 'B2', 'French': 'B2'}",2025-05-31,20,4,6,6
E012,Data Analyst,"I am a technically proficient data analyst with a strong background in finance and experience streamlining workflows using Print2.0 technology.  My expertise lies in automating processes and extracting key insights from data analysis, leveraging my advanced skills in workflow automation (8/10) and API development (4/10) to deliver actionable business intelligence.  I'm eager to contribute to projects requiring efficient data processing and insightful reporting, ultimately improving operational efficiency and decision-making.",Technical,['Print2.0'],"{'API Development': 4, 'Workflow Automation': 8, 'Data Analysis': 4}",['Microsoft Azure Certification'],['API Integration'],['Finance'],London,remote,"{'French': 'B2', 'Italian': 'C2'}",2025-06-11,40,7,9,3
E013,Senior HR Manager,"I am a highly skilled HR professional with extensive experience in optimizing employee onboarding and experience through platforms like [Onboarding Suite Name] and [Employee Experience Platform Name].  My expertise in digital HR and organizational development, coupled with strong communication skills, allows me to effectively manage employee relations and contribute significantly to talent management initiatives within the finance sector. I'm confident in my ability to streamline HR processes and drive positive change within our organization.  I'm eager to contribute to projects focused on improving employee engagement and enhancing the overall HR experience.",HR,"['Onboarding Suite', 'Employee Experience Platform']","{'Organizational Development': 5, 'Digital HR': 7, 'Communication Skills': 9, 'Talent Management': 8}",['SHRM-CP'],"['Employee Experience Platforms', 'Organizational Development Systems']",['Finance'],Berlin,hybrid,"{'Italian': 'B1', 'French': 'B2', 'German': 'B1'}",2025-05-29,30,1,9,1
E014,HR Business Partner,"I am a Human Resources professional with a strong background in manufacturing and a deep understanding of Employee Experience Platforms. My expertise lies in talent management and strategic communication, enabling me to effectively partner with leadership to develop and implement HR strategies that enhance employee engagement and productivity. I'm particularly adept at leveraging technology to improve HR processes and contribute meaningfully to projects focusing on employee experience optimization.",HR,['Employee Experience Platform'],"{'Talent Management': 6, 'Communication Skills': 9}",['PMP'],['HRIS Systems'],['Manufacturing'],London,remote,"{'German': 'C1', 'French': 'C2', 'Italian': 'A2'}",2025-06-12,30,1,4,2
E015,Senior HR Manager,"I am a seasoned HR professional with extensive experience in optimizing employee experiences across diverse industries like healthcare, manufacturing, and retail.  My expertise spans employee experience platforms, HRIS systems, and onboarding suites, allowing me to streamline HR operations and improve employee relations. I excel in talent management (8/10) and digital HR (6/10), and I'm eager to leverage my skills to contribute to projects focused on enhancing employee engagement and developing impactful HR strategies.  I'm a strong communicator and collaborate effectively to achieve organizational development goals.",HR,"['Employee Experience Platform', 'HRIS Plus', 'Onboarding Suite']","{'Communication Skills': 4, 'Digital HR': 6, 'Organizational Development': 4, 'Talent Management': 8}","['HR Analytics Certification', 'PMP']",['HRIS Systems'],"['Healthcare', 'Manufacturing', 'Retail']",Vienna,remote,{'English': 'A2'},2025-06-09,30,4,1,8
E016,HR Business Partner,"I am a highly skilled HR professional with extensive experience in optimizing onboarding processes using platforms like Onboarding Suite and HRIS Plus.  My expertise in Organizational Development and Digital HR allows me to strategically align HR initiatives with business goals, particularly within manufacturing environments.  I'm eager to contribute to projects requiring process improvement and leveraging technology to enhance employee experiences and overall HR effectiveness.  I'm particularly interested in roles collaborating with leadership to shape and implement impactful HR strategies.",HR,"['Onboarding Suite', 'HRIS Plus']","{'Organizational Development': 10, 'Digital HR': 9}",['HR Analytics Certification'],['Organizational Development Systems'],['Manufacturing'],Berlin,remote,{'English': 'C1'},2025-06-07,30,1,9,6
E017,Senior HR Manager,"I'm a seasoned HR professional with extensive experience in streamlining onboarding (Onboarding Suite, Employee Experience Platform) and managing HR data within HRIS Plus, particularly within the Finance and Healthcare sectors.  My expertise in talent management is exceptional, allowing me to contribute significantly to strategic initiatives and improve employee experience.  I'm adept at communicating complex information clearly and concisely, ensuring smooth HR operations and positive employee relations.  I'm eager to leverage my skills to contribute to projects focused on employee engagement and talent development.",HR,"['Onboarding Suite', 'Employee Experience Platform', 'HRIS Plus']","{'Communication Skills': 4, 'Talent Management': 10}","['HR Analytics Certification', 'PMP']",['Employee Experience Platforms'],"['Finance', 'Healthcare']",Vienna,onsite,"{'German': 'B1', 'French': 'C1', 'English': 'A1'}",2025-06-12,20,3,7,3
E018,IT Systems Engineer,"I am a highly analytical and results-oriented technical professional with extensive experience optimizing workflows and integrating systems, particularly within the Education, Healthcare, and Manufacturing sectors.  My expertise in cloud services, data analysis, and API development allows me to efficiently troubleshoot and improve existing systems like IntegrationHub and Print2.0, while also contributing to new automation projects.  I'm proficient in streamlining processes and leveraging data to enhance operational efficiency.  My skills readily translate to supporting and improving our internal IT infrastructure.",Technical,"['IntegrationHub', 'Print2.0']","{'Cloud Services': 5, 'Data Analysis': 7, 'API Development': 4, 'Workflow Automation': 7}",['ISO 27001'],['Cloud Infrastructure'],"['Education', 'Healthcare', 'Manufacturing']",Berlin,remote,"{'English': 'B2', 'Italian': 'A1'}",2025-05-19,40,9,9,3
E019,Strategy Consultant,"I am a business analyst specializing in finance, with proven expertise in ERP migration and business analysis frameworks.  My strong strategic planning and business analysis skills allow me to advise leadership on optimizing processes and driving business growth. I contribute significantly to projects by identifying key areas for improvement and developing actionable strategies to achieve organizational objectives.  I'm eager to leverage my skills to support impactful initiatives within the firm.",Consulting,"['ERP Migration Tool', 'Business Analysis Framework']","{'Business Analysis': 6, 'Strategic Planning': 8}",['PMP'],"['Business Workflow Optimization', 'Strategic Planning']",['Finance'],Berlin,onsite,{'English': 'C1'},2025-05-23,40,6,7,3
E020,Corporate Trainer,"I am a highly skilled HR professional with extensive experience in designing and implementing engaging onboarding programs and optimizing employee experiences using leading platforms.  My expertise in organizational development and digital HR, coupled with my strong talent management skills, allows me to contribute significantly to projects focused on improving employee engagement and streamlining HR processes within our manufacturing sector. I'm eager to leverage my skills to develop and deliver impactful training programs that enhance employee performance and contribute to our overall organizational goals.",HR,"['Onboarding Suite', 'Employee Experience Platform']","{'Organizational Development': 10, 'Talent Management': 7, 'Digital HR': 10}",['SHRM-CP'],"['Organizational Development Systems', 'Employee Experience Platforms']",['Manufacturing'],Vienna,hybrid,{'French': 'B2'},2025-06-13,20,3,5,3
E021,Integration Developer,"I am a technical specialist with extensive experience in Print2.0 technologies and a proven track record of developing seamless integrations within manufacturing and finance sectors. My core strengths lie in workflow automation (expert level) and API development (proficient), allowing me to efficiently build and maintain robust connections between systems.  I'm eager to contribute my expertise to projects requiring sophisticated automation and integration solutions, leveraging my skills in IT infrastructure and data analysis to deliver high-impact results.",Technical,['Print2.0'],"{'API Development': 7, 'Workflow Automation': 9, 'IT Infrastructure': 7, 'Data Analysis': 4}",['Microsoft Azure Certification'],['Cybersecurity'],"['Manufacturing', 'Finance']",Berlin,hybrid,"{'German': 'B1', 'Italian': 'B1'}",2025-06-14,20,5,2,6
E022,Solutions Support Consultant,"I am a technical specialist with extensive experience in Workflow2000, providing expert support and guidance on workflow automation within the healthcare industry.  My strong API development skills (9/10) allow me to seamlessly integrate solutions and troubleshoot complex issues, while my proficiency in cloud services and workflow automation ensures efficient deployment and ongoing support. I'm eager to contribute my expertise to projects requiring advanced technical problem-solving and streamlining processes, particularly those involving Canon solutions.",Technical,['Workflow2000'],"{'API Development': 9, 'Workflow Automation': 5, 'Cloud Services': 6}",['Microsoft Azure Certification'],"['Cloud Infrastructure', 'Scripting']",['Healthcare'],Vienna,remote,"{'English': 'A2', 'French': 'C2', 'German': 'C2'}",2025-06-09,10,6,4,10
E023,Field Support Engineer,"I am a highly proficient IT professional with extensive experience in retail, specializing in optimizing technical workflows and infrastructure.  My expertise in API development, workflow automation, and data analysis, coupled with deep knowledge of cloud services (including CloudSuite) and Canon products, allows me to efficiently troubleshoot and resolve technical issues. I'm eager to leverage my skills in projects involving Print2.0, AIScan, and cloud-based solutions to improve operational efficiency and contribute to the success of our retail initiatives.",Technical,"['CloudSuite', 'Print2.0', 'AIScan']","{'API Development': 5, 'Workflow Automation': 8, 'Data Analysis': 7, 'IT Infrastructure': 10, 'Cloud Services': 9}","['ITIL', 'Microsoft Azure Certification']","['Scripting', 'API Integration']",['Retail'],Berlin,onsite,"{'Italian': 'C1', 'English': 'A2', 'German': 'A2'}",2025-05-27,30,7,1,1
E024,Corporate Trainer,"I am a highly skilled HR professional with a strong background in digital HR and talent management, specializing in employee experience platforms and onboarding suites. My expertise in designing and delivering engaging training programs, coupled with my experience in the finance industry, allows me to contribute significantly to improving employee engagement and development initiatives.  I'm confident in leveraging my skills to optimize our onboarding process and enhance employee experience across the organization.  I am eager to contribute to projects focused on improving talent acquisition and employee development.",HR,"['Employee Experience Platform', 'Onboarding Suite']","{'Digital HR': 8, 'Talent Management': 9}",['PMP'],"['Employee Experience Platforms', 'Organizational Development Systems']",['Finance'],London,remote,{'Italian': 'C2'},2025-06-03,40,5,6,4
E025,Legal Counsel,"I am a contract and compliance specialist with proven experience using Contract Manager Pro and Regulatory Tracker to support manufacturing operations.  My strong document review skills (7/7) allow me to efficiently manage complex legal documents, ensuring compliance with relevant regulations. I'm eager to contribute my regulatory knowledge (4/7) to projects requiring meticulous legal review and proactive risk mitigation within the manufacturing sector.",Legal,"['Contract Manager Pro', 'Regulatory Tracker']","{'Document Review': 7, 'Regulatory Knowledge': 4}","['Certified Compliance Officer', 'Contract Law Certification']","['Document Archiving', 'Contract Management Systems']",['Manufacturing'],Vienna,onsite,"{'English': 'B2', 'German': 'C1', 'Italian': 'A1'}",2025-06-03,20,10,10,2
