,ProjectID,Project Summary,Scope and Deliverables,Theme_x,Products Involved,Required Skills and Expertise,Customer Preferences (Certifications),Integration Requirements (Expertise Areas),Customer Industry,Work Location_x,Work Flexibility_x,Languages Required,Complexity,Effort,Requested End,EmployeeID,Role Name,Role Description,Theme_y,Products Experience,Core Competencies,External/Internal Certifications,Expertise Areas,Industry Experience,Work Location_y,Work Flexibility_y,Languages Known,Available From,Weekly Availability in Hours,Cultural Awareness,Problem Solving,Leadership,Product Match Score,Location Match Score,Language Match Score,Industry Match Score,Skill Match Score,Certification Match Score,Expertise Match Score,Job Description Match Score,Cultural Awareness Score,Problem Solving Score,Leadership Score,Availability Score,Available,Product Match Score Weighted,Location Match Score Weighted,Language Match Score Weighted,Industry Match Score Weighted,Skill Match Score Weighted,Certification Match Score Weighted,Expertise Match Score Weighted,Job Description Match Score Weighted,Cultural Awareness Score Weighted,Problem Solving Score Weighted,Leadership Score Weighted,Final Score
5,P1,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['IntegratinoHub', 'ClouduSite', 'Print2.0']","{'Workfolw Automation': 10, 'Cloud Services': 5, 'Data Analysis': 9, 'IT Infrastructure': 5, 'API Development': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Networking']",eRtail,Beriln,hybrid,{'Germna': 'C1'},9,110,2025-08-17,E6,IT Systems Engineer,Maintains and optimizes internal IT infrastructure.,Technical,"['AIScan', 'Workflow2000']","{'Data Analysis': 10, 'Cloud Services': 5, 'API Development': 6, 'IT Infrastructure': 7, 'Workflow Automation': 8}","['ISO 27001', 'Microsoft Azure Certification']","['Networking', 'API Integration']","['Finance', 'Manufacturing']",Berlin,hybrid,"{'French': 'B1', 'Italian': 'B2'}",2025-06-11,20,3,9,7,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0.696,0.3,0.9,0.7,1.0,1,0.0,0.1,0.0,0.0,0.2,0.1,0.05,0.10439999999999999,0.0075,0.022500000000000003,0.017499999999999998,0.6018999999999999
7,P1,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['IntegratinoHub', 'ClouduSite', 'Print2.0']","{'Workfolw Automation': 10, 'Cloud Services': 5, 'Data Analysis': 9, 'IT Infrastructure': 5, 'API Development': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Networking']",eRtail,Beriln,hybrid,{'Germna': 'C1'},9,110,2025-08-17,E8,Field Support Engineer,Provides onsite technical support for Canon products.,Technical,['Workflow2000'],"{'Workflow Automation': 10, 'Cloud Services': 4, 'API Development': 10, 'IT Infrastructure': 10, 'Data Analysis': 9}","['Microsoft Azure Certification', 'ISO 27001']",['Networking'],"['Manufacturing', 'Education']",Berlin,onsite,"{'Italian': 'A2', 'English': 'A2', 'French': 'B1'}",2025-06-05,30,7,1,5,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0.533,0.7,0.1,0.5,1.0,1,0.0,0.1,0.0,0.0,0.2,0.1,0.05,0.07995000000000001,0.017499999999999998,0.0025000000000000005,0.0125,0.5624499999999999
1,P1,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['IntegratinoHub', 'ClouduSite', 'Print2.0']","{'Workfolw Automation': 10, 'Cloud Services': 5, 'Data Analysis': 9, 'IT Infrastructure': 5, 'API Development': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Networking']",eRtail,Beriln,hybrid,{'Germna': 'C1'},9,110,2025-08-17,E2,Technical Support Specialist,Resolves technical issues reported by customers.,Technical,"['CloudSuite', 'Workflow2000', 'Print2.0']","{'Data Analysis': 7, 'Cloud Services': 9}","['ISO 27001', 'Microsoft Azure Certification']",['Scripting'],"['Retail', 'Education']",Berlin,onsite,"{'French': 'C2', 'Italian': 'C2', 'English': 'C2'}",2025-06-27,30,10,10,1,0.67,1.0,0.0,1.0,0.4,1.0,0.0,0.536,1.0,1.0,0.1,1.0,1,0.067,0.1,0.0,0.075,0.08000000000000002,0.1,0.0,0.0804,0.025,0.025,0.0025000000000000005,0.5549000000000001
18,P1,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['IntegratinoHub', 'ClouduSite', 'Print2.0']","{'Workfolw Automation': 10, 'Cloud Services': 5, 'Data Analysis': 9, 'IT Infrastructure': 5, 'API Development': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Networking']",eRtail,Beriln,hybrid,{'Germna': 'C1'},9,110,2025-08-17,E19,Technical Support Specialist,Resolves technical issues reported by customers.,Technical,['CloudSuite'],"{'Cloud Services': 7, 'API Development': 5, 'Data Analysis': 6, 'Workflow Automation': 7}",['ISO 27001'],"['API Integration', 'Cybersecurity']","['Education', 'Finance', 'Healthcare']",Berlin,hybrid,"{'English': 'B2', 'Italian': 'B1', 'German': 'B2'}",2025-06-16,40,8,9,7,0.33,1.0,0.83,0.0,0.73,0.5,0.0,0.536,0.8,0.9,0.7,1.0,1,0.033,0.1,0.083,0.0,0.146,0.05,0.0,0.0804,0.020000000000000004,0.022500000000000003,0.017499999999999998,0.5523999999999999
12,P1,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['IntegratinoHub', 'ClouduSite', 'Print2.0']","{'Workfolw Automation': 10, 'Cloud Services': 5, 'Data Analysis': 9, 'IT Infrastructure': 5, 'API Development': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Networking']",eRtail,Beriln,hybrid,{'Germna': 'C1'},9,110,2025-08-17,E13,Field Support Engineer,Provides onsite technical support for Canon products.,Technical,['AIScan'],"{'IT Infrastructure': 7, 'Workflow Automation': 7, 'Data Analysis': 5, 'Cloud Services': 6}",['ISO 27001'],['Scripting'],"['Education', 'Retail', 'Healthcare']",Berlin,hybrid,"{'Italian': 'C1', 'French': 'B1'}",2025-06-21,40,8,7,7,0.0,1.0,0.0,1.0,0.73,0.5,0.0,0.533,0.8,0.7,0.7,1.0,1,0.0,0.1,0.0,0.075,0.146,0.05,0.0,0.07995000000000001,0.020000000000000004,0.017499999999999998,0.017499999999999998,0.50595
6,P1,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['IntegratinoHub', 'ClouduSite', 'Print2.0']","{'Workfolw Automation': 10, 'Cloud Services': 5, 'Data Analysis': 9, 'IT Infrastructure': 5, 'API Development': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Networking']",eRtail,Beriln,hybrid,{'Germna': 'C1'},9,110,2025-08-17,E7,Solution Architect,Designs high-level technical solutions for enterprise customers.,Technical,"['IntegrationHub', 'Workflow2000', 'Print2.0']","{'IT Infrastructure': 7, 'Data Analysis': 8, 'Workflow Automation': 5}",['ISO 27001'],['Cybersecurity'],['Manufacturing'],London,remote,"{'Italian': 'A2', 'German': 'B2', 'English': 'C2'}",2025-06-18,10,6,10,6,0.67,0.0,0.83,0.0,0.53,0.5,0.0,0.522,0.6,1.0,0.6,0.78,0,0.067,0.0,0.083,0.0,0.10600000000000001,0.05,0.0,0.0783,0.015,0.025,0.015,0.4393
8,P1,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['IntegratinoHub', 'ClouduSite', 'Print2.0']","{'Workfolw Automation': 10, 'Cloud Services': 5, 'Data Analysis': 9, 'IT Infrastructure': 5, 'API Development': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Networking']",eRtail,Beriln,hybrid,{'Germna': 'C1'},9,110,2025-08-17,E9,Solutions Support Consultant,Provides technical guidance and second-line support for Canon solutions during and after customer deployment.,Technical,"['AIScan', 'IntegrationHub']","{'API Development': 4, 'IT Infrastructure': 4}","['Microsoft Azure Certification', 'ISO 27001']",['Cybersecurity'],['Retail'],Vienna,hybrid,{'French': 'A2'},2025-06-20,30,2,9,8,0.33,0.0,0.0,1.0,0.38,1.0,0.0,0.514,0.2,0.9,0.8,1.0,1,0.033,0.0,0.0,0.075,0.07600000000000001,0.1,0.0,0.0771,0.005000000000000001,0.022500000000000003,0.020000000000000004,0.4086000000000001
3,P1,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['IntegratinoHub', 'ClouduSite', 'Print2.0']","{'Workfolw Automation': 10, 'Cloud Services': 5, 'Data Analysis': 9, 'IT Infrastructure': 5, 'API Development': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Networking']",eRtail,Beriln,hybrid,{'Germna': 'C1'},9,110,2025-08-17,E4,Solution Architect,Designs high-level technical solutions for enterprise customers.,Technical,"['CloudSuite', 'IntegrationHub', 'Workflow2000']","{'API Development': 4, 'Data Analysis': 6, 'Workflow Automation': 8, 'IT Infrastructure': 9}","['ITIL', 'Microsoft Azure Certification']","['Cybersecurity', 'API Integration']",['Finance'],Vienna,onsite,"{'French': 'C1', 'English': 'A1'}",2025-06-18,30,4,2,7,0.67,0.0,0.0,0.0,0.73,0.5,0.0,0.522,0.4,0.2,0.7,1.0,1,0.067,0.0,0.0,0.0,0.146,0.05,0.0,0.0783,0.010000000000000002,0.005000000000000001,0.017499999999999998,0.3738
13,P1,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['IntegratinoHub', 'ClouduSite', 'Print2.0']","{'Workfolw Automation': 10, 'Cloud Services': 5, 'Data Analysis': 9, 'IT Infrastructure': 5, 'API Development': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Networking']",eRtail,Beriln,hybrid,{'Germna': 'C1'},9,110,2025-08-17,E14,Solutions Support Consultant,Provides technical guidance and second-line support for Canon solutions during and after customer deployment.,Technical,"['AIScan', 'Workflow2000']","{'Workflow Automation': 6, 'Cloud Services': 9, 'API Development': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cybersecurity', 'Networking']","['Finance', 'Manufacturing']",Vienna,remote,{'Italian': 'B2'},2025-06-09,40,1,2,6,0.0,0.0,0.0,0.0,0.58,1.0,0.5,0.514,0.1,0.2,0.6,1.0,1,0.0,0.0,0.0,0.0,0.11599999999999999,0.1,0.05,0.0771,0.0025000000000000005,0.005000000000000001,0.015,0.36560000000000004
19,P1,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['IntegratinoHub', 'ClouduSite', 'Print2.0']","{'Workfolw Automation': 10, 'Cloud Services': 5, 'Data Analysis': 9, 'IT Infrastructure': 5, 'API Development': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Networking']",eRtail,Beriln,hybrid,{'Germna': 'C1'},9,110,2025-08-17,E20,Content Creator,"Develops written, video, and visual content for marketing.",Marketing,"['Content CMS', 'Social Media Manager', 'Digital Campaign Manager']","{'SEO Optimization': 9, 'Branding': 9, 'Campaign Management': 9, 'Copywriting': 5, 'Content Strategy': 5}","['Google Ads Certification', 'Digital Marketing Certification']",['Content Management Systems'],"['Retail', 'Education']",Berlin,onsite,"{'Italian': 'B1', 'German': 'C1', 'English': 'B2'}",2025-06-29,20,7,1,5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.387,0.7,0.1,0.5,1.0,1,0.0,0.1,0.1,0.075,0.0,0.0,0.0,0.05805,0.017499999999999998,0.0025000000000000005,0.0125,0.36555000000000004
