,ProjectID,Project Summary,Scope and Deliverables,Theme_x,Products Involved,Required Skills and Expertise,Customer Preferences (Certifications),Integration Requirements (Expertise Areas),Customer Industry,Work Location_x,Work Flexibility_x,Languages Required,Complexity,Effort,Requested End,EmployeeID,Role Name,Role Description,Theme_y,Products Experience,Core Competencies,External/Internal Certifications,Expertise Areas,Industry Experience,Work Location_y,Work Flexibility_y,Languages Known,Available From,Weekly Availability in Hours,Cultural Awareness,Problem Solving,Leadership,Product Match Score,Location Match Score,Language Match Score,Industry Match Score,Skill Match Score,Certification Match Score,Expertise Match Score,Job Description Match Score,Cultural Awareness Score,Problem Solving Score,Leadership Score,Availability Score,Available,Product Match Score Weighted,Location Match Score Weighted,Language Match Score Weighted,Industry Match Score Weighted,Skill Match Score Weighted,Certification Match Score Weighted,Expertise Match Score Weighted,Job Description Match Score Weighted,Cultural Awareness Score Weighted,Problem Solving Score Weighted,Leadership Score Weighted,Final Score
2,P1,Regulatory compliance documentation project,"Standardize processes, deliver compliance documentation",Legal,"['Compliance Suite', 'Regulatory Tracker']","{'DocumentR eview': 10, 'Compliance Documentation': 5, 'Contract Management': 5, 'Regulatory Knowledge': 7}","['Certified Compliance Officer', 'GDPR Certification']","['Contract Management Systems', 'Document Archiving']",Healthcare,Berlin,remote,"{'English': 'C1', 'German': 'C2', 'Frecnh': 'A1'}",6,200,2025-07-24,E3,Legal Counsel,Provides legal support for contracts and compliance.,Legal,"['Contract Manager Pro', 'Regulatory Tracker', 'Compliance Suite']","{'Regulatory Knowledge': 4, 'Document Review': 8, 'Compliance Documentation': 7}",['Certified Compliance Officer'],"['Document Archiving', 'Contract Management Systems']",['Retail'],Berlin,onsite,{'Italian': 'C2'},2025-05-31,40,2,8,3,1.0,1.0,0.0,0.0,1.0,0.5,1.0,0.1,0.2,0.8,0.3,1.0,1,1.0,1.0,0.0,0.0,2.0,0.4,2.0,0.2,0.1,0.4,0.15,7.250000000000001
13,P1,Regulatory compliance documentation project,"Standardize processes, deliver compliance documentation",Legal,"['Compliance Suite', 'Regulatory Tracker']","{'DocumentR eview': 10, 'Compliance Documentation': 5, 'Contract Management': 5, 'Regulatory Knowledge': 7}","['Certified Compliance Officer', 'GDPR Certification']","['Contract Management Systems', 'Document Archiving']",Healthcare,Berlin,remote,"{'English': 'C1', 'German': 'C2', 'Frecnh': 'A1'}",6,200,2025-07-24,E14,Compliance Manager,Ensures adherence to regulations and company standards.,Legal,"['Compliance Suite', 'Regulatory Tracker']","{'Regulatory Knowledge': 4, 'Document Review': 6}","['GDPR Certification', 'Contract Law Certification']",['Contract Management Systems'],"['Finance', 'Education', 'Manufacturing']",London,remote,"{'Italian': 'A2', 'German': 'C2', 'English': 'B1'}",2025-06-17,40,9,10,5,1.0,1.0,0.56,0.0,0.54,0.5,0.5,0.0,0.9,1.0,0.5,1.0,1,1.0,1.0,0.56,0.0,1.08,0.4,1.0,0.0,0.45,0.5,0.25,6.24
15,P1,Regulatory compliance documentation project,"Standardize processes, deliver compliance documentation",Legal,"['Compliance Suite', 'Regulatory Tracker']","{'DocumentR eview': 10, 'Compliance Documentation': 5, 'Contract Management': 5, 'Regulatory Knowledge': 7}","['Certified Compliance Officer', 'GDPR Certification']","['Contract Management Systems', 'Document Archiving']",Healthcare,Berlin,remote,"{'English': 'C1', 'German': 'C2', 'Frecnh': 'A1'}",6,200,2025-07-24,E16,Data Analyst,Analyzes data and delivers business insights.,Technical,['IntegrationHub'],"{'IT Infrastructure': 6, 'Data Analysis': 5, 'Cloud Services': 10, 'Workflow Automation': 9, 'API Development': 8}",['ISO 27001'],"['Cybersecurity', 'Networking']","['Retail', 'Education', 'Healthcare']",Berlin,remote,"{'Italian': 'B2', 'English': 'B2', 'French': 'B1'}",2025-06-09,40,7,9,9,0.0,1.0,0.61,1.0,0.0,0.0,0.0,0.0,0.7,0.9,0.9,1.0,1,0.0,1.0,0.61,0.8,0.0,0.0,0.0,0.0,0.35,0.45,0.45,3.6600000000000006
10,P1,Regulatory compliance documentation project,"Standardize processes, deliver compliance documentation",Legal,"['Compliance Suite', 'Regulatory Tracker']","{'DocumentR eview': 10, 'Compliance Documentation': 5, 'Contract Management': 5, 'Regulatory Knowledge': 7}","['Certified Compliance Officer', 'GDPR Certification']","['Contract Management Systems', 'Document Archiving']",Healthcare,Berlin,remote,"{'English': 'C1', 'German': 'C2', 'Frecnh': 'A1'}",6,200,2025-07-24,E11,Sales Account Manager,Manages customer accounts and drives sales processes.,Sales,"['SalesForce Light', 'Loyalty CRM']","{'Negotiation': 9, 'Customer Relationship Management': 5, 'CRM Integration': 5, 'Client Management': 4}","['CRM Specialist Certification', 'Certified Sales Professional (CSP)']",['CRM Integration'],"['Education', 'Finance']",London,remote,{'German': 'B1'},2025-05-25,40,9,8,10,0.0,1.0,0.17,0.0,0.38,0.0,0.0,0.046,0.9,0.8,1.0,1.0,1,0.0,1.0,0.17,0.0,0.76,0.0,0.0,0.092,0.45,0.4,0.5,3.372
14,P1,Regulatory compliance documentation project,"Standardize processes, deliver compliance documentation",Legal,"['Compliance Suite', 'Regulatory Tracker']","{'DocumentR eview': 10, 'Compliance Documentation': 5, 'Contract Management': 5, 'Regulatory Knowledge': 7}","['Certified Compliance Officer', 'GDPR Certification']","['Contract Management Systems', 'Document Archiving']",Healthcare,Berlin,remote,"{'English': 'C1', 'German': 'C2', 'Frecnh': 'A1'}",6,200,2025-07-24,E15,Pre-Sales Engineer,Prepares technical demos and solution proposals for prospects.,Sales,['CRM Pro'],"{'CRM Integration': 6, 'Negotiation': 5, 'Client Management': 10, 'Customer Relationship Management': 10}",['CRM Specialist Certification'],"['Sales Pipeline Automation', 'CRM Integration']","['Retail', 'Finance', 'Education']",London,onsite,{'Italian': 'B2'},2025-06-08,40,7,10,3,0.0,1.0,0.0,0.0,0.42,0.0,0.0,0.0,0.7,1.0,0.3,1.0,1,0.0,1.0,0.0,0.0,0.84,0.0,0.0,0.0,0.35,0.5,0.15,2.84
6,P1,Regulatory compliance documentation project,"Standardize processes, deliver compliance documentation",Legal,"['Compliance Suite', 'Regulatory Tracker']","{'DocumentR eview': 10, 'Compliance Documentation': 5, 'Contract Management': 5, 'Regulatory Knowledge': 7}","['Certified Compliance Officer', 'GDPR Certification']","['Contract Management Systems', 'Document Archiving']",Healthcare,Berlin,remote,"{'English': 'C1', 'German': 'C2', 'Frecnh': 'A1'}",6,200,2025-07-24,E7,Digital Marketing Specialist,"Executes online campaigns, SEO, and branding strategies.",Marketing,"['Content CMS', 'SEO Toolkit', 'Digital Campaign Manager']","{'Copywriting': 7, 'SEO Optimization': 8, 'Branding': 6, 'Campaign Management': 10, 'Content Strategy': 9}",['Digital Marketing Certification'],"['Social Media Integration', 'SEO Optimization']",['Retail'],London,onsite,"{'Italian': 'A1', 'English': 'A2', 'French': 'A1'}",2025-06-02,30,6,6,7,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.7,1.0,1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.35,2.45
8,P1,Regulatory compliance documentation project,"Standardize processes, deliver compliance documentation",Legal,"['Compliance Suite', 'Regulatory Tracker']","{'DocumentR eview': 10, 'Compliance Documentation': 5, 'Contract Management': 5, 'Regulatory Knowledge': 7}","['Certified Compliance Officer', 'GDPR Certification']","['Contract Management Systems', 'Document Archiving']",Healthcare,Berlin,remote,"{'English': 'C1', 'German': 'C2', 'Frecnh': 'A1'}",6,200,2025-07-24,E9,IT Systems Engineer,Maintains and optimizes internal IT infrastructure.,Technical,"['IntegrationHub', 'Print2.0', 'Workflow2000']","{'API Development': 6, 'IT Infrastructure': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Scripting']","['Retail', 'Education']",Berlin,onsite,"{'French': 'B2', 'German': 'C2'}",2025-06-06,30,7,1,5,0.0,1.0,0.67,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.5,1.0,1,0.0,1.0,0.67,0.0,0.0,0.0,0.0,0.0,0.35,0.05,0.25,2.32
18,P1,Regulatory compliance documentation project,"Standardize processes, deliver compliance documentation",Legal,"['Compliance Suite', 'Regulatory Tracker']","{'DocumentR eview': 10, 'Compliance Documentation': 5, 'Contract Management': 5, 'Regulatory Knowledge': 7}","['Certified Compliance Officer', 'GDPR Certification']","['Contract Management Systems', 'Document Archiving']",Healthcare,Berlin,remote,"{'English': 'C1', 'German': 'C2', 'Frecnh': 'A1'}",6,200,2025-07-24,E19,Customer Success Manager,Supports post-sales success and client satisfaction.,Sales,"['SalesForce Light', 'Loyalty CRM']","{'Client Management': 9, 'Customer Relationship Management': 10, 'CRM Integration': 5}",['Certified Sales Professional (CSP)'],"['Sales Pipeline Automation', 'CRM Integration']","['Education', 'Finance', 'Healthcare']",Berlin,hybrid,"{'English': 'A2', 'Italian': 'A1', 'French': 'C1'}",2025-06-12,30,3,3,1,0.0,1.0,0.5,1.0,0.42,0.0,0.0,0.0,0.3,0.3,0.1,0.9,0,0.0,1.0,0.5,0.8,0.84,0.0,0.0,0.0,0.15,0.15,0.05,3.4899999999999993
12,P1,Regulatory compliance documentation project,"Standardize processes, deliver compliance documentation",Legal,"['Compliance Suite', 'Regulatory Tracker']","{'DocumentR eview': 10, 'Compliance Documentation': 5, 'Contract Management': 5, 'Regulatory Knowledge': 7}","['Certified Compliance Officer', 'GDPR Certification']","['Contract Management Systems', 'Document Archiving']",Healthcare,Berlin,remote,"{'English': 'C1', 'German': 'C2', 'Frecnh': 'A1'}",6,200,2025-07-24,E13,Compliance Manager,Ensures adherence to regulations and company standards.,Legal,"['Contract Manager Pro', 'Regulatory Tracker', 'Compliance Suite']","{'Regulatory Knowledge': 9, 'Compliance Documentation': 9, 'Contract Management': 8}",['GDPR Certification'],['Document Archiving'],"['Education', 'Finance']",Vienna,onsite,"{'Italian': 'A2', 'English': 'B1', 'French': 'B2'}",2025-05-23,20,1,7,10,1.0,1.0,0.56,0.0,1.0,0.5,0.5,0.0,0.1,0.7,1.0,0.89,0,1.0,1.0,0.56,0.0,2.0,0.4,1.0,0.0,0.05,0.35,0.5,6.86
16,P1,Regulatory compliance documentation project,"Standardize processes, deliver compliance documentation",Legal,"['Compliance Suite', 'Regulatory Tracker']","{'DocumentR eview': 10, 'Compliance Documentation': 5, 'Contract Management': 5, 'Regulatory Knowledge': 7}","['Certified Compliance Officer', 'GDPR Certification']","['Contract Management Systems', 'Document Archiving']",Healthcare,Berlin,remote,"{'English': 'C1', 'German': 'C2', 'Frecnh': 'A1'}",6,200,2025-07-24,E17,Sales Account Manager,Manages customer accounts and drives sales processes.,Sales,['Sales Enablement Suite'],"{'CRM Integration': 10, 'Customer Relationship Management': 6, 'Negotiation': 7, 'Client Management': 9}",['Certified Sales Professional (CSP)'],"['Client Relationship Systems', 'Sales Pipeline Automation']","['Retail', 'Healthcare', 'Finance']",Berlin,hybrid,"{'French': 'B2', 'Italian': 'B1', 'English': 'A1'}",2025-05-27,20,4,3,2,0.0,1.0,0.44,1.0,0.42,0.0,0.0,0.046,0.4,0.3,0.2,0.83,0,0.0,1.0,0.44,0.8,0.84,0.0,0.0,0.092,0.2,0.15,0.1,3.6220000000000003
