,ProjectID,Products,Work Location_x,Work Flexibility_x,Languages Required,EmployeeID,Products Experience,Work Location_y,Work Flexibility_y,Languages Known,Product Match Score,Location Match Score,Language Match Score
0,P1,['Print20.'],Vienna,hybrid,"{'French': 'B1', 'nEglish': 'A2', 'tIalian': 'B1', 'German': 'C2'}",E1,['Print2.0'],Vienna,hybrid,"{'Italian': 'C1', 'German': 'B1', 'English': 'A2', 'French': 'B1'}",1,1,0.88
1,P1,['Print20.'],Vienna,hybrid,"{'French': 'B1', 'nEglish': 'A2', 'tIalian': 'B1', 'German': 'C2'}",E2,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,onsite,{'English': 'A2'},1,0,0.25
2,P1,['Print20.'],Vienna,hybrid,"{'French': 'B1', 'nEglish': 'A2', 'tIalian': 'B1', 'German': 'C2'}",E3,"['Workflow2000', 'Print2.0', 'AIScan']",London,onsite,"{'Italian': 'B1', 'French': 'C1', 'English': 'A2', 'German': 'C2'}",1,0,1
3,P1,['Print20.'],Vienna,hybrid,"{'French': 'B1', 'nEglish': 'A2', 'tIalian': 'B1', 'German': 'C2'}",E4,"['Workflow2000', 'AIScan']",Berlin,remote,"{'French': 'B1', 'German': 'B2'}",0,0,0.42
4,P1,['Print20.'],Vienna,hybrid,"{'French': 'B1', 'nEglish': 'A2', 'tIalian': 'B1', 'German': 'C2'}",E5,"['Workflow2000', 'Print2.0']",London,onsite,"{'German': 'B1', 'Italian': 'C1'}",1,0,0.38
5,P1,['Print20.'],Vienna,hybrid,"{'French': 'B1', 'nEglish': 'A2', 'tIalian': 'B1', 'German': 'C2'}",E6,"['Print2.0', 'Workflow2000', 'AIScan']",London,hybrid,{'French': 'B1'},1,0,0.25
6,P1,['Print20.'],Vienna,hybrid,"{'French': 'B1', 'nEglish': 'A2', 'tIalian': 'B1', 'German': 'C2'}",E7,['Workflow2000'],Berlin,remote,"{'Italian': 'C2', 'English': 'A1', 'German': 'B1', 'French': 'A1'}",0,0,0.75
7,P1,['Print20.'],Vienna,hybrid,"{'French': 'B1', 'nEglish': 'A2', 'tIalian': 'B1', 'German': 'C2'}",E8,"['Print2.0', 'Workflow2000']",Berlin,onsite,"{'German': 'C1', 'Italian': 'B1'}",1,0,0.46
8,P1,['Print20.'],Vienna,hybrid,"{'French': 'B1', 'nEglish': 'A2', 'tIalian': 'B1', 'German': 'C2'}",E9,"['AIScan', 'Print2.0', 'Workflow2000']",Berlin,remote,"{'French': 'B1', 'Italian': 'B2'}",1,0,0.5
9,P1,['Print20.'],Vienna,hybrid,"{'French': 'B1', 'nEglish': 'A2', 'tIalian': 'B1', 'German': 'C2'}",E10,"['Print2.0', 'Workflow2000', 'AIScan']",Berlin,remote,"{'Italian': 'A1', 'French': 'B2', 'English': 'A1', 'German': 'B1'}",1,0,0.75
10,P2,"['AIcSan', 'Print2.0']",Vienan,onsite,"{'Geramn': 'A1', 'English': 'A2', 'French': 'A1', 'Italian': 'A1'}",E1,['Print2.0'],Vienna,hybrid,"{'Italian': 'C1', 'German': 'B1', 'English': 'A2', 'French': 'B1'}",0.5,0.5,1
