,ProjectID,Project Summary,Scope and Deliverables,Theme_x,Products Involved,Required Skills and Expertise,Customer Preferences (Certifications),Integration Requirements (Expertise Areas),Customer Industry,Work Location_x,Work Flexibility_x,Languages Required,Complexity,EmployeeID,Role Name,Role Description,Theme_y,Products Experience,Core Competencies,External/Internal Certifications,Expertise Areas,Industry Experience,Work Location_y,Work Flexibility_y,Languages Known,Product Match Score,Location Match Score,Language Match Score,Industry Match Score,Skill Match Score,Certification Match Score,Expertise Match Score,Job Description Match Score
0,P1,Content library migration,Migrate marketing content to new CMS,Marketing,"['Digital Campaign Manager', 'Social Media aMnager', 'SEO Toolkit']","{'Copywriting': 5, 'SEO Optimizatino': 9, 'Campiagn Management': 10, 'Content Startegy': 8}",['Google Ads Certification'],"['Social Media Integration', 'Content Management Systems']",Eudcation,Brelin,onsite,"{'French': 'B1', 'Egnlish': 'A2', 'Italain': 'B1'}",6,E1,Customer Success Manager,Supports post-sales success and client satisfaction.,Sales,"['Sales Enablement Suite', 'CRM Pro', 'SalesForce Light']","{'CRM Integration': 4, 'Customer Relationship Management': 6, 'Client Management': 4}",['Certified Sales Professional (CSP)'],['Sales Pipeline Automation'],"['Manufacturing', 'Education']",London,hybrid,"{'Italian': 'A2', 'French': 'A1'}",0.0,0.0,0.5,1.0,0.17,0.0,0.0,0.0
1,P1,Content library migration,Migrate marketing content to new CMS,Marketing,"['Digital Campaign Manager', 'Social Media aMnager', 'SEO Toolkit']","{'Copywriting': 5, 'SEO Optimizatino': 9, 'Campiagn Management': 10, 'Content Startegy': 8}",['Google Ads Certification'],"['Social Media Integration', 'Content Management Systems']",Eudcation,Brelin,onsite,"{'French': 'B1', 'Egnlish': 'A2', 'Italain': 'B1'}",6,E2,Sales Account Manager,Manages customer accounts and drives sales processes.,Sales,"['CRM Pro', 'Sales Enablement Suite']","{'Client Management': 5, 'Customer Relationship Management': 8, 'Negotiation': 10, 'CRM Integration': 5}",['CRM Specialist Certification'],['Client Relationship Systems'],['Finance'],Vienna,hybrid,{'Italian': 'A2'},0.0,0.0,0.28,0.0,0.21,0.0,0.0,0.0
2,P1,Content library migration,Migrate marketing content to new CMS,Marketing,"['Digital Campaign Manager', 'Social Media aMnager', 'SEO Toolkit']","{'Copywriting': 5, 'SEO Optimizatino': 9, 'Campiagn Management': 10, 'Content Startegy': 8}",['Google Ads Certification'],"['Social Media Integration', 'Content Management Systems']",Eudcation,Brelin,onsite,"{'French': 'B1', 'Egnlish': 'A2', 'Italain': 'B1'}",6,E3,Digital Marketing Specialist,"Executes online campaigns, SEO, and branding strategies.",Marketing,['Social Media Manager'],"{'Campaign Management': 8, 'Branding': 6, 'Content Strategy': 8, 'SEO Optimization': 6, 'Copywriting': 4}","['HubSpot Marketing Certification', 'Digital Marketing Certification']","['Content Management Systems', 'SEO Optimization']",['Healthcare'],London,hybrid,"{'French': 'B1', 'Italian': 'C2', 'English': 'C1'}",0.33,0.0,1.0,0.0,1.0,0.0,0.5,0.0
3,P1,Content library migration,Migrate marketing content to new CMS,Marketing,"['Digital Campaign Manager', 'Social Media aMnager', 'SEO Toolkit']","{'Copywriting': 5, 'SEO Optimizatino': 9, 'Campiagn Management': 10, 'Content Startegy': 8}",['Google Ads Certification'],"['Social Media Integration', 'Content Management Systems']",Eudcation,Brelin,onsite,"{'French': 'B1', 'Egnlish': 'A2', 'Italain': 'B1'}",6,E4,Quality Assurance Specialist,Tests systems and processes to ensure quality.,Technical,"['Print2.0', 'Workflow2000']","{'IT Infrastructure': 7, 'Data Analysis': 10, 'Workflow Automation': 4}",['ITIL'],['API Integration'],"['Healthcare', 'Retail', 'Finance']",London,remote,"{'English': 'B2', 'French': 'B2'}",0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.042
4,P1,Content library migration,Migrate marketing content to new CMS,Marketing,"['Digital Campaign Manager', 'Social Media aMnager', 'SEO Toolkit']","{'Copywriting': 5, 'SEO Optimizatino': 9, 'Campiagn Management': 10, 'Content Startegy': 8}",['Google Ads Certification'],"['Social Media Integration', 'Content Management Systems']",Eudcation,Brelin,onsite,"{'French': 'B1', 'Egnlish': 'A2', 'Italain': 'B1'}",6,E5,Strategy Consultant,Advises leadership on business growth and optimization strategies.,Consulting,['ERP Migration Tool'],"{'Change Management': 5, 'Workflow Optimization': 4, 'Strategic Planning': 5, 'Project Management': 10, 'Business Analysis': 8}","['Agile Practitioner', 'Six Sigma']",['Business Workflow Optimization'],['Education'],Berlin,remote,"{'German': 'B2', 'English': 'C1'}",0.0,0.0,0.33,1.0,0.42,0.0,0.0,0.0
5,P1,Content library migration,Migrate marketing content to new CMS,Marketing,"['Digital Campaign Manager', 'Social Media aMnager', 'SEO Toolkit']","{'Copywriting': 5, 'SEO Optimizatino': 9, 'Campiagn Management': 10, 'Content Startegy': 8}",['Google Ads Certification'],"['Social Media Integration', 'Content Management Systems']",Eudcation,Brelin,onsite,"{'French': 'B1', 'Egnlish': 'A2', 'Italain': 'B1'}",6,E6,Content Creator,"Develops written, video, and visual content for marketing.",Marketing,['Content CMS'],"{'Content Strategy': 7, 'Branding': 5, 'Campaign Management': 9}","['HubSpot Marketing Certification', 'Google Ads Certification']","['SEO Optimization', 'Social Media Integration']",['Healthcare'],London,hybrid,"{'Italian': 'A1', 'English': 'A2', 'German': 'A1'}",0.0,0.0,0.56,0.0,0.75,1.0,0.5,0.144
6,P1,Content library migration,Migrate marketing content to new CMS,Marketing,"['Digital Campaign Manager', 'Social Media aMnager', 'SEO Toolkit']","{'Copywriting': 5, 'SEO Optimizatino': 9, 'Campiagn Management': 10, 'Content Startegy': 8}",['Google Ads Certification'],"['Social Media Integration', 'Content Management Systems']",Eudcation,Brelin,onsite,"{'French': 'B1', 'Egnlish': 'A2', 'Italain': 'B1'}",6,E7,Sales Account Manager,Manages customer accounts and drives sales processes.,Sales,['SalesForce Light'],"{'CRM Integration': 8, 'Negotiation': 9}","['CRM Specialist Certification', 'Certified Sales Professional (CSP)']","['Sales Pipeline Automation', 'Client Relationship Systems']",['Manufacturing'],Vienna,hybrid,{'German': 'A1'},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,P1,Content library migration,Migrate marketing content to new CMS,Marketing,"['Digital Campaign Manager', 'Social Media aMnager', 'SEO Toolkit']","{'Copywriting': 5, 'SEO Optimizatino': 9, 'Campiagn Management': 10, 'Content Startegy': 8}",['Google Ads Certification'],"['Social Media Integration', 'Content Management Systems']",Eudcation,Brelin,onsite,"{'French': 'B1', 'Egnlish': 'A2', 'Italain': 'B1'}",6,E8,Integration Developer,Develops integrations between Canon products and third-party systems.,Technical,['AIScan'],"{'Data Analysis': 4, 'Cloud Services': 7, 'API Development': 8, 'Workflow Automation': 7}","['ISO 27001', 'ITIL']","['API Integration', 'Networking']","['Education', 'Healthcare']",London,hybrid,"{'French': 'B2', 'Italian': 'A1'}",0.0,0.0,0.56,1.0,0.0,0.0,0.0,0.0
8,P1,Content library migration,Migrate marketing content to new CMS,Marketing,"['Digital Campaign Manager', 'Social Media aMnager', 'SEO Toolkit']","{'Copywriting': 5, 'SEO Optimizatino': 9, 'Campiagn Management': 10, 'Content Startegy': 8}",['Google Ads Certification'],"['Social Media Integration', 'Content Management Systems']",Eudcation,Brelin,onsite,"{'French': 'B1', 'Egnlish': 'A2', 'Italain': 'B1'}",6,E9,Senior HR Manager,Manages HR operations and employee relations.,HR,['Employee Experience Platform'],"{'Digital HR': 7, 'Communication Skills': 6, 'Talent Management': 4}",['PMP'],"['Employee Experience Platforms', 'Organizational Development Systems']","['Retail', 'Education', 'Manufacturing']",Vienna,remote,{'German': 'C1'},0.0,0.0,0.0,1.0,0.17,0.0,0.0,0.0
9,P1,Content library migration,Migrate marketing content to new CMS,Marketing,"['Digital Campaign Manager', 'Social Media aMnager', 'SEO Toolkit']","{'Copywriting': 5, 'SEO Optimizatino': 9, 'Campiagn Management': 10, 'Content Startegy': 8}",['Google Ads Certification'],"['Social Media Integration', 'Content Management Systems']",Eudcation,Brelin,onsite,"{'French': 'B1', 'Egnlish': 'A2', 'Italain': 'B1'}",6,E10,Workflow Consultant,Analyzes business processes and recommends workflow improvements.,Consulting,"['Business Analysis Framework', 'Strategy Kit', 'ERP Migration Tool']","{'Change Management': 5, 'Business Analysis': 10}",['PMP'],"['Business Workflow Optimization', 'Strategic Planning']","['Education', 'Finance']",Berlin,hybrid,"{'French': 'C1', 'German': 'B2', 'English': 'C1'}",0.0,0.5,0.67,1.0,0.21,0.0,0.0,0.0
